"id","name","bic","bank_code","bank_branch_code"
"base.res_bank_0010000","BOT: ธนาคารแห่งประเทศไทย",,"001","0000"
"base.res_bank_0020000","BBL: ธ. กรุงเทพ จำกัด (มหาชน)","BKKBTHBK","002","0000"
"base.res_bank_0040000","KBANK: ธ. กสิกรไทย จำกัด (มหาชน)","KASITHBK","004","0000"
"base.res_bank_0060000","KTB: ธ. กรุงไทย จำกัด (มหาชน)","KRTHTHBK","006","0000"
"base.res_bank_0080000","JPMC: ธ. เจพีมอร์แกน เชส","CHASTHBX","008","0000"
"base.res_bank_0090000","OCBC: ธ. โอเวอร์ซี-ไชนีสแบงกิ้งคอร์ปอเรชั่น จำกัด","OCBCTHBK","009","0000"
"base.res_bank_0110000","TTB: ธ. ทหารไทยธนชาต จำกัด (มหาชน)","TMBKTHBK","011","0000"
"base.res_bank_0140000","SCB: ธ. ไทยพาณิชย์ จำกัด (มหาชน)","SICOTHBK","014","0000"
"base.res_bank_0170000","CITI: ธ. ซิตี้แบงก์","CITITHBX","017","0000"
"base.res_bank_0180000","SMBC: ธ. ซูมิโตโม มิตซุย แบงกิ้ง คอร์ปอเรชั่น","SMBCTHBK","018","0000"
"base.res_bank_0200000","Standard Chartered: ธ. สแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน)","SCBLTHBX","020","0000"
"base.res_bank_0220000","CIMB: ธ. ซีไอเอ็มบี ไทย จำกัด (มหาชน)","UBOBTHBK","022","0000"
"base.res_bank_0230000","RHB: ธ. อาร์ เอช บี จำกัด","DCBBTHBK","023","0000"
"base.res_bank_0240000","UOB: ธ. ยูโอบี จำกัด (มหาชน) ธ. ยูโอบี จำกัด (มหาชน)","BKASTHBK","024","0000"
"base.res_bank_0250000","BAY: ธ. กรุงศรีอยุธยา จำกัด (มหาชน)","AYUDTHBK","025","0000"
"base.res_bank_0290000","IOB: ธ. อินเดียนโอเวอร์ซีส์","BHOBTHBK","029","0000"
"base.res_bank_0300000","GSB: ธ. ออมสิน","GSBATHBK","030","0000"
"base.res_bank_0310000","HSBC: ธ. ฮ่องกงและเซี่ยงไฮ้แบงกิ้งคอร์ปอเรชั่น จำกัด","HSBCTHBK","031","0000"
"base.res_bank_0330000","GH BANK: ธ. อาคารสงเคราะห์","GOHUTHB1","033","0000"
"base.res_bank_0340000","BAAC: ธ. เพื่อการเกษตรและสหกรณ์การเกษตร","BAABTHBK","034","0000"
"base.res_bank_0350000","EXIM: ธ.เพื่อการส่งออกและนำเข้าแห่งประเทศไทย","EXTHTHBK","035","0000"
"base.res_bank_0390000","MIZUHO: ธ. มิซูโฮ คอร์ปอเรต จำกัด","MHCBTHBK","039","0000"
"base.res_bank_0520000","BOC: ธ. แห่งประเทศจีน จำกัด","BKCHTHBK","052","0000"
"base.res_bank_0660000","IBANK: ธ. อิสลามแห่งประเทศไทย","TIBTTHBK","066","0000"
"base.res_bank_0670000","TISCO: ธ. ทิสโก้ จำกัด (มหาชน)","TFPCTHB1","067","0000"
"base.res_bank_0690000","KKP: ธ. เกียรตินาคิน จำกัด (มหาชน)","KKPBTHBK","069","0000"
"base.res_bank_0700000","ICBC: ธ. ไอซีบีซี (ไทย) จำกัด (มหาชน)","ICBKTHBK","070","0000"
"base.res_bank_0710000","TCR: ธ. ไทยเครดิต เพื่อรายย่อย จำกัด (มหาชน)","THCETHB1","071","0000"
"base.res_bank_0730000","LH: ธ. แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน)","LAHRTHB2","073","0000"
"base.res_bank_0980000","SME: ธ. พัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย","SMEBTHBK","098","0000"
